SiteFunctionalLocation,LicenceArea,SiteName,SiteType,SiteVoltage,ESQCROverallRisk,GridRef,SiteAssetCount,PowerTransformerCount,ElectricalAssetCount,CivilAssetCount,Street,Suburb,TownCity,County,PostCode,YearCommissioned,DateCommissioned,SiteClassification,AssessmentDate,Last_Report,CalculatedResistance,MeasuredResistance.Ohm.,Next_AssessmentDate,Easting,Northing,transratingwinter,transratingsummer,reversepower,maxdemandsummer,maxdemandwinter,Spatial Coordinates,local_authority,local_authority_code,what3words
EPN-S0000000G7150,Eastern Power Networks (EPN),ROMFORD PRIMARY 33KV,Primary Substation,33,High,TQ5129188481,94,0,94,0,EXCHANGE STREET,,ROMFORD,Essex,RM1 1AU,NA,1963-04-01,COLD,,ELP05282001-R01,0.51Ω 0.00Deg,,2039-12-12,551291,188481,NA,NA,NA,NA,NA,"51.5748985672836, 0.181826447810081",Havering,E09000016,locals.super.ports
EPN-S0000000G7215,Eastern Power Networks (EPN),HODDESDON ATTP,Primary Substation,33,Low,TL3886308931,25,0,25,0,RATTYS LANE,RYE HOUSE AREA,HODDESDEN,Hertfordshire,EN11 0RF,NA,2016-04-01,NA,,NA,NA,,2040-11-22,538863,208931,NA,NA,NA,NA,NA,"51.7618514559078, 0.010727424251254",Broxbourne,E07000095,orders.churn.darker
EPN-S0000000G7239,Eastern Power Networks (EPN),10 ARDRA ROAD,Primary Substation,33,Medium,TQ3575893072,21,0,21,0,ARDRA ROAD,,"EDMONTON, LONDON",NA,N9 0BD,NA,2017-04-01,COLD,2020-01-08,ELP03560-R01,0.67Ω 0.00Deg,,2036-11-30,535758,193072,NA,NA,NA,NA,NA,"51.6201048887389, -0.0404001145105312",Enfield,E09000010,issued.tribes.piper
EPN-S0000000G8012,Eastern Power Networks (EPN),KNEBWORTH PRIMARY 33kV,Primary Substation,33,Very High,TL2566920459,18,0,18,0,,,KNEBWORTH,Hertfordshire,SG3 6AG,NA,1960-04-01,COLD,2017-04-11,ESL1992031-R01,2.76Ω 0.00Deg,0.2,2026-11-30,525669,220459,NA,NA,NA,NA,NA,"51.8685605645314, -0.17616631986687",North Hertfordshire,E07000099,normal.trail.clear
EPN-S0000000G8064,Eastern Power Networks (EPN),VERITY WAY PRIMARY 33kV,Primary Substation,33,Medium,TL2540426077,4,0,4,0,,,STEVENAGE,Hertfordshire,SG1 5PN,NA,2003-04-01,COLD,2014-08-05,ESL0042-010,0.21Ω 0.00Deg,,2026-11-30,525404,226077,"24, 24","18, 18",100%,10.3,13.8,"51.9191052457307, -0.177972085753386",Stevenage,E07000243,reduce.bench.elite
EPN-S0000000G8065,Eastern Power Networks (EPN),WARNERS END PRIMARY 33KV,Primary Substation,33,High,TL03990743,4,0,4,0,,,HEMEL HEMPSTEAD WEST,NA,HP1 2LD,NA,2009-04-01,COLD,2020-05-04,ELP03878-R01,1.82Ω 0.00Deg,0.09,2037-11-30,503990,207430,NA,NA,NA,NA,NA,"51.7559157400067, -0.494812425978993",Dacorum,E07000096,ideas.refuse.bricks
EPN-S0000000G8125,Eastern Power Networks (EPN),MILL HILL PRIMARY 33kV,Primary Substation,33,Medium,TQ2061092135,4,0,4,0,,,MILL HILL,Greater London,NW7 3SF,NA,1958-04-01,COLD,2018-10-11,ELP0061035-R01,0.28Ω 0.00Deg,0.05,2034-11-30,520610,192135,NA,NA,NA,NA,NA,"51.6151307997911, -0.259416501836292",Barnet,E09000003,mixer.cheer.sorry
EPN-S0000000G8165,Eastern Power Networks (EPN),NORTH HITCHIN PRIMARY 33kV,Primary Substation,33,Medium,TL1950829930,5,0,5,0,,,HITCHIN NORTH,Hertfordshire,SG4 0HL,NA,1962-04-01,COLD,2010-12-15,P-10-696-189,0.13Ω 0.00Deg,,2026-11-30,519508,229930,NA,NA,NA,NA,NA,"51.9550261388817, -0.262321881363418",North Hertfordshire,E07000099,scare.paints.wake
EPN-S0000000G8186,Eastern Power Networks (EPN),EATON VALLEY RD,Primary Substation,33,Medium,TL1087222185,1,0,1,0,,,LUTON,Bedfordshire,LU2 0SL,NA,2013-04-01,COLD,2020-10-19,ELP03607029-R01,1.28Ω 0.00Deg,0.3,2036-11-30,510872,222185,NA,NA,NA,NA,NA,"51.887206746036, -0.390429154871957",Luton,E06000032,wedge.modes.hooks
EPN-S0000000H1001,Eastern Power Networks (EPN),NACTON PRIMARY 33/11kV,Primary Substation,33,Medium,TM1981641953,127,2,127,0,,NACTON,IPSWICH EAST,Suffolk,IP3 9RZ,NA,2003-04-01,HOT,2014-08-12,ESL0042-025,1.16Ω 0.00Deg,,2027-11-26,619816,241953,"24, 24","18, 18",100%,6.6,8.6,"52.0323951714821, 1.2031676568957",Ipswich,E07000202,downcast.picked.spots
EPN-S0000000H1012,Eastern Power Networks (EPN),BURY GRID 33/11kV,Primary Substation,33,Medium,TL85986366,145,2,145,0,,BURY ST EDMUNDS,BURY ST EDMUNDS SOUTH,Suffolk,IP33 2AX,NA,1974-04-01,COLD,2017-06-21,ESL1992032-R01,1.15Ω 0.00Deg,0.08,2031-11-30,585980,263660,"38, 38","29, 29",<100%,16.1,18.3,"52.2397029827595, 0.722409751813484",West Suffolk,E07000245,telephone.translate.splints
