_unit_id	_golden	_unit_state	_trusted_judgments	_last_judgment_at	please_choose_a_category:confidence	created_at	id_str	rownames	please_choose_a_category	text	please_choose_a_category_:confidence	please_choose_a_category_	choose_a_category:confidence	choose_a_category
1846692712	False	finalized	3	08/03/2018 20:23	0.6664	Mon May 14 22:49:14 +0000 2018	,996160536487358464,	79959	direct_eyewitness	 TheReformedCrow Nah, I'm gonna go with earthquake. 				
1846692769	False	finalized	3	08/03/2018 20:46	1.0	Tue May 15 02:19:00 +0000 2018	,996213327398289408,	99307	direct_eyewitness	I think we just had an earthquake				
1846692882	False	finalized	3	08/03/2018 21:36	1.0	Tue May 15 02:19:12 +0000 2018	,996213376370950144,	99629	direct_eyewitness	Uhh who else felt that earthquake tho				
1846694004	False	finalized	3	08/03/2018 21:10	0.358	Tue May 15 02:20:41 +0000 2018	,996213749903077376,	102406	direct_eyewitness	Bay area just had a nice size earthquake				
1846693321	False	finalized	3	08/03/2018 20:37	1.0	Tue May 15 02:19:43 +0000 2018	,996213508357279744,	100701	direct_eyewitness	Thought my dad was farting...turns out it was an earthquake				
1846693228	False	finalized	3	08/03/2018 20:38	1.0	Tue May 15 02:19:37 +0000 2018	,996213480922300416,	100498	direct_eyewitness	earthquake!?				
1846692585	False	finalized	3	08/03/2018 21:01	1.0	Tue May 15 02:19:11 +0000 2018	,996213374546464769,	99619	direct_eyewitness	BITCH..... was that an earthquake!?				
1846693541	False	finalized	3	08/03/2018 21:08	1.0	Tue May 15 02:20:00 +0000 2018	,996213576472776705,	101220	direct_eyewitness	Holy shit, just felt an earthquake in the California Bay Area.  That Warriors vs Rockets game is INTENSE!				
1846693011	False	finalized	3	08/03/2018 20:52	1.0	Tue May 15 02:19:21 +0000 2018	,996213415629570048,	99970	direct_eyewitness	i believe a small earthquake just happened 				
1846693796	False	finalized	3	08/03/2018 20:46	1.0	Tue May 15 02:20:17 +0000 2018	,996213649327833088,	101747	direct_eyewitness	it was jus a fxckin earthquake 				
1846693790	False	finalized	3	08/03/2018 19:36	0.6562	Tue May 15 02:20:16 +0000 2018	,996213646962327553,	101730	direct_eyewitness	Listening to a live podcast recording and there was an earthquake. Quickest way to news is to listen to live podcasts.				
1846693497	False	finalized	3	08/03/2018 20:27	0.6684	Tue May 15 02:19:55 +0000 2018	,996213557430599680,	101100	direct_eyewitness	The last thing I would be wearing if that earthquake was massive was a fckn poncho				
1846692526	False	finalized	3	08/03/2018 20:17	1.0	Tue May 15 02:24:26 +0000 2018	,996214693973835778,	106838	direct_eyewitness	first earthquake ive ever felt				
1846693888	False	finalized	3	08/03/2018 20:33	1.0	Tue May 15 02:20:23 +0000 2018	,996213675626135557,	101943	direct_eyewitness	So it  s just gone be a earthquake .. like right now .. ground just gon shake				
1846692407	False	finalized	3	08/03/2018 15:02	0.6667	Mon May 14 07:26:30 +0000 2018	,995928323833368576,	5954	direct_eyewitness	in before  њearthquake? ќ tweets				
1846693378	False	finalized	3	08/03/2018 20:36	1.0	Tue May 15 02:19:47 +0000 2018	,996213525499428864,	100834	direct_eyewitness	Am I trippin or was that an earthquake 				
1846693798	False	finalized	3	08/03/2018 20:52	1.0	Tue May 15 02:20:17 +0000 2018	,996213649076207616,	101752	direct_eyewitness	Yep!  That was an #earthquake. https://t.co/3A5FERfNG5				
1846694299	False	finalized	3	08/03/2018 20:50	0.684	Tue May 15 03:38:45 +0000 2018	,996233398317404160,	125997	direct_eyewitness	The only time we ever had an earthquake, at 6 am on a Saturday, I was the only person awake for it and Twitter didn https://t.co/pr2crKTrWn				
1846692900	False	finalized	3	08/03/2018 21:14	1.0	Tue May 15 02:19:13 +0000 2018	,996213383060848640,	99684	direct_eyewitness	Lol earthquake				
1846693799	False	finalized	3	08/03/2018 20:14	1.0	Tue May 15 02:20:17 +0000 2018	,996213649998950400,	101753	direct_eyewitness	was that an earthquake ? #Bayarea #earthquake				
1846693858	False	finalized	3	08/03/2018 21:14	0.6496	Tue May 15 02:20:21 +0000 2018	,996213667090726912,	101877	direct_eyewitness	thank u twitter for letting me know Im not losing my mind and that was in fact an earthquake				
1846692573	False	finalized	3	08/03/2018 20:32	0.6721	Mon May 14 19:23:29 +0000 2018	,996108756558761984,	62324	direct_eyewitness	 PolhomeEditor  duncanm Buildings first earthquake.				
1846693109	False	finalized	3	08/03/2018 20:12	1.0	Tue May 15 02:19:28 +0000 2018	,996213444947861505,	100206	direct_eyewitness	Good little #earthquake just now in #SanFrancisco				
1846693625	False	finalized	3	08/03/2018 21:14	0.6704	Tue May 15 02:20:06 +0000 2018	,996213602129342464,	101397	direct_eyewitness	I think there was just an earthquake in SF..				
1846693723	False	finalized	3	08/03/2018 20:26	1.0	Tue May 15 02:20:12 +0000 2018	,996213628834480128,	101602	direct_eyewitness	Wtf was there an earthquake or I  m trippen				
1846693952	False	finalized	3	08/03/2018 21:45	1.0	Tue May 15 02:20:29 +0000 2018	,996213698967621632,	102090	direct_eyewitness	hi friends, was that an earthquake				
1846693831	False	finalized	3	08/03/2018 20:07	1.0	Tue May 15 02:20:19 +0000 2018	,996213658446282752,	101817	direct_eyewitness	i swear there was just a mini earthquake				
1846694289	False	finalized	3	08/03/2018 21:05	1.0	Tue May 15 03:38:18 +0000 2018	,996233284110639104,	125943	direct_eyewitness	 HiredbyAshley  HoustonRockets Did you feel da earthquake				
1846694117	False	finalized	3	08/03/2018 21:02	1.0	Tue May 15 02:20:51 +0000 2018	,996213790520827904,	102691	direct_eyewitness	I just felt the jolt!  Did you feel the #earthquake?  #SanFrancisco #BayArea https://t.co/8C44UZoH0L				
1846693647	False	finalized	3	08/03/2018 20:27	1.0	Tue May 15 02:20:07 +0000 2018	,996213608072675328,	101440	direct_eyewitness	Hmmm....either someone is moving the building or there was just an earthquake.				
1846693411	False	finalized	3	08/03/2018 20:18	1.0	Tue May 15 02:19:50 +0000 2018	,996213537864204288,	100927	direct_eyewitness	That earthquake just scared the heck out of me!!!				
